,0,1,2,3,4
experience_replay,"[1.0, 0.4]","[1.0, 0.5]","[1.0, 0.0]","[0.85, 0.5]","[0.7, 0.0]"
generative_replay,"[1.0, 1.0]","[1.0, 0.5]","[1.0, 0.8]","[0.85, 0.5]","[0.85, 0.3]"
